Date : 2023-10-17 10:26:31
Directory : c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource
Total : 58 files,  1004 codes, 31 comments, 143 blanks, all 1178 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Release\net6.0\HourSocketServerCS.AssemblyInfo.cs                           | C#         |          9 |         10 |          5 |         24 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Release\net6.0\HourSocketServerCS.GeneratedMSBuildEditorConfig.editorconfig | Properties |         11 |          0 |          1 |         12 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\Release\net6.0\HourSocketServerCS.GlobalUsings.g.cs                         | C#         |          7 |          1 |          1 |          9 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\HourSocketServerCS\obj\project.assets.json                                                         | JSON       |        155 |          0 |          0 |        155 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\main.py                                                                                            | Python     |       -372 |        -11 |        -52 |       -435 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\static\index.js                                                                                    | JavaScript |        -66 |          0 |        -12 |        -78 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\static\style.css                                                                                   | CSS        |        -63 |          0 |         -7 |        -70 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\templates\index.html                                                                               | HTML       |        -22 |          0 |         -1 |        -23 |
| c:\Users\Small Penis\AppData\Local\Packages\ROBLOXCORPORATION.ROBLOX_55nm5eh3cm0pr\AC\workspace\HoursMPSource\Server\webserver.py                                                                                       | Python     |        -13 |         -1 |         -7 |        -21 |
| Total                                                                                                                                                                                                                   |            |      1,004 |         31 |        143 |      1,178 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
